,AMM.,BOD,COD,DO,PH,TKN,WT
1020,1.7878514913504524,8.477391736332956,27.363824705982548,12.931327988162884,8.42321725169393,2.1720629358113777,16.78901530632678
1021,2.644019299187472,12.10308579935354,29.13901941254958,10.577907744165895,8.445116887958937,11.28210982218037,35.90370311777403
1022,5.610124604884284,3.82174967363329,17.262322394493584,9.897350173936545,8.159991576360628,6.851516606735448,34.28924090907777
1023,8.501288215470067,12.859617264433863,19.040619055035013,9.21662558242846,7.817703051153447,10.91543833766035,34.03569522237678
1024,4.243111609082503,4.14213872266628,30.048304931394046,9.132952645506364,8.632997273661992,9.226261966430865,31.50141238879864
1025,5.405739625276171,12.347741087515871,7.437027373665945,9.722417292998,8.581459586895559,9.991359022564298,36.42130482278248
1026,6.733357957986916,12.033667127532322,10.31879140310506,8.939309492089063,8.791770284604322,5.122435231508006,29.86310158888155
1027,17.62662195845373,35.490936821783194,96.34160510748939,2.249490705420196,8.24260067276705,21.533068314268075,20.763482081476678
1028,17.834080585145983,58.21472011000937,108.25342341124154,1.0806937197989486,7.731591795819603,29.36014584578817,21.158941329679166
1029,22.49458355038643,34.34190945769241,72.82558737737477,3.6427808595681777,8.100194937118287,41.20080246939576,29.217255833233757
1030,17.290180730336502,23.985220482074592,111.79506843667649,2.9081439190567426,8.302191789118325,24.887905960033454,33.7277458736718
1031,33.78819404540373,31.160445960554107,70.96522466863772,3.061650567483313,7.647408428485514,42.99443560734965,34.7817493306675
1032,15.451274059454237,14.125705314231011,64.27277939951136,3.6221911997673484,7.666197738855937,35.01276792354729,33.82669126154028
1033,4.02953510602398,5.205762891476079,47.044540993105684,2.900029714929919,8.208497267000228,13.994567749847633,37.58920584099283
1034,3.6330308078124416,9.468144431660514,35.22875365376976,6.920927602388318,8.37548631632942,8.645707263849294,35.0218041433081
1035,5.856020132116484,12.568858867671077,38.039508284199066,8.852840270738652,7.849797584783951,13.558964328726887,33.08706875246747
1036,21.685704255058177,27.85423207854212,94.37751001196574,7.334966209044672,7.540494448609328,25.98052803142969,35.770206624336836
1037,10.092764814895286,28.349529908813818,61.565231604156615,1.453808898928581,8.340591641761643,20.527052871769538,23.946202080649133
1038,23.89729551030523,31.94946933558886,100.16808490880442,1.8413755911967888,7.481301985149388,23.89017271135885,24.3953697681617
1039,18.82206239223539,36.10837142933447,101.20858773864185,2.1700893044303218,8.178639286067517,29.724837915801018,20.518607560902993
1040,21.501214226423528,49.43605058214377,121.77749053023695,3.584383970877862,7.852761977699843,29.41659500644968,24.892042228966673
1041,24.820513497698688,35.78328295179014,82.22935160949164,2.328122262234785,8.08101171285448,29.3618535600207,26.34030263027943
1042,18.90622464096132,26.909448320224868,75.72923610883022,1.7910124089726043,7.683912972318015,24.487419633223936,33.99910877296136
1043,33.039870457024385,26.209285058367275,90.48183127696245,1.048707225568715,7.970699592408624,41.83391303625132,33.10656684459031
1044,16.79295165647475,26.585659472322398,67.43823794655856,3.108634298965679,7.938957869512447,27.487534729372758,33.543061736542654
1045,6.076251397146005,9.462026820772008,40.58431592949482,3.8798454727481984,8.202022790218521,12.192016354088024,39.79236365466369
1046,9.233794103673779,10.05227751633246,62.92153984188493,5.902476314948883,8.030259068695806,5.353411979748943,33.047882862131516
1047,10.029672672989863,14.967836309805726,23.826453462500528,11.204196709215157,7.873567206150652,16.63291411279797,34.15784822501789
1048,18.716637530714756,36.39850613058624,77.14709283136384,9.199059271525382,8.038036890023445,25.98500975819719,34.66481036000187
1049,11.166302536041837,23.81027410079463,58.86045971698132,2.584643702558896,8.445520184579486,22.151185236394227,24.1247324989504
1050,31.04102417611586,33.63358672564654,77.46369265506111,1.8427285810902672,7.815940222417602,26.92487681732925,22.147055182016377
1051,8.746326848043743,7.721963230390209,31.671120508766258,11.049351412442128,8.209341624544779,9.507166153361643,19.7353161948365
1052,3.6993679944094366,3.5279351489590223,17.839114964510845,9.496447550117011,7.5343386994444534,11.646702877598061,19.811311064660465
1053,7.346431938703465,5.225410350090716,36.01076822466812,11.214419869023718,8.291516963343641,6.087662831697912,26.38649693778514
1054,4.251830591487908,10.205555490971214,29.923651256754287,11.279373014186568,8.944158101615894,9.484726483822534,30.217401089571084
1055,6.30283933421504,5.830586537329447,14.919746056338205,9.488226899034785,7.75242066218009,10.496501035905615,32.800737717531156
1056,3.8060353353280236,5.299370749263731,26.263721338852626,9.565980662188188,8.176144203781075,7.1933272377014745,37.316336422671235
1057,5.914397093394841,4.817181210040086,24.935586174798516,10.065092131628266,8.634040498900172,5.853941033887602,34.3862485194674
1058,6.567419559232423,9.221247809666037,24.384880448846225,8.880943001415414,8.252480614238042,7.633373492685546,31.005754142379725
1059,2.21664578160145,13.828611826275031,21.806785770855917,8.445976216248907,8.446062593926232,2.706379597599572,31.479747752152907
1060,8.545129786199771,9.55140675995711,23.71450309489775,12.474489405670715,8.147618485565193,9.069119517003992,29.31106688690566
1061,3.2773658695624546,3.7192548853052596,4.811287364549127,9.981013181626153,8.236126164766441,5.113914876741679,17.449523900002198
1062,20.635457239131192,41.66072048836683,99.2060426678389,2.6560482944037918,7.791540416512378,29.1443000844067,21.17786122803858
1063,31.54661472679983,40.25801437875315,98.4050243241,2.13804383789024,7.802777202811895,38.416614042431505,25.99537130815022
1064,15.92066559161995,25.672736581210145,45.8010973899015,2.8463580073102985,7.744863039616237,20.8324449341198,19.319907704855286
1065,31.242039876749033,34.382399122086,73.7843714299601,1.5140228830427853,7.4535416287179075,35.97526865293571,37.81059075568127
1066,34.3703389582593,23.79203667969154,69.26176650517226,2.2611458934858257,8.027060249045093,30.248099587879516,36.51010465521142
1067,12.762000403507889,37.57681027193062,81.08460922134091,3.869329696220256,8.14437542477561,15.766044878776444,36.75940051116805
1068,30.445382446865693,29.137044775789267,98.23425364799627,3.9253664202153766,7.813386428061121,35.67117789005442,32.016837012980666
1069,17.444715442592297,12.26121388165346,53.195770659628536,1.9071382716713314,8.049194522135817,18.08233887536762,32.17836416091338
1070,7.771877432516303,16.397057793912722,37.45576345260852,5.242343836946246,7.396783419272935,8.83584702566793,24.82150328471176
1071,15.723736255689163,28.886279624522295,73.23300102075397,2.1362619652690698,8.113399223106551,19.41357745631331,38.49435907954867
1072,15.081026345837543,22.175842252984193,80.40317188493589,3.849027706761382,7.8256286980667475,20.8455722077529,31.703838058008593
1073,26.572414397621884,27.176469301178102,68.32160889998418,1.5996708610025463,8.220236053245122,29.380181242027035,20.78129547020194
1074,17.45843817662864,46.28628482939598,99.14232495576269,1.8841083752170735,7.304947591031838,24.50838945243208,21.08767324984491
1075,23.454865752621423,32.007523927860376,111.02441272428024,1.541743448102587,7.328529936228645,35.1654586556153,25.784480945650714
1076,20.014810071744023,22.82519107061997,62.73499381081568,3.2035753704980863,7.908590062944027,17.311032375078504,22.563568861269125
1077,31.25397067544514,34.07086820472476,73.69479358823028,3.1923152243118196,7.368159006061381,31.072291012066877,36.219656646357436
1078,28.037164510922224,24.759228178296194,61.23274434776684,2.9954133257840603,8.130298181043308,34.2893402158691,36.366258216880496
1079,19.32286398285552,43.47907551349245,94.55211201879942,3.440671671755014,7.7669053702613695,23.488928693571413,34.572530296125464
1080,33.61841525010981,34.25651505464134,87.17146382371017,3.8154749788281275,7.8777902850392465,35.18325289795075,31.514836082369964
1081,15.367154535269467,20.298691859506892,66.46869604782532,3.358502664176462,7.663035013902627,23.806299155494543,29.18108452822565
1082,2.5542239542382363,9.933809560347411,35.033484307613605,4.793999951061142,7.153410167370445,5.105832576172453,21.43830588749773
1083,16.39756462325977,26.72648483243626,64.29598282755896,1.6778465029670677,7.787879609694983,25.665332165250895,34.473924787019826
1084,21.90956092918828,30.202570646928795,88.67218295130571,2.263374611316143,8.078354584643924,19.74164810175295,31.87098985851914
1085,24.943318687210024,30.506512951310867,91.51782858136384,1.7627448534920946,8.048724354739978,27.46908441569517,17.3882398497533
1086,3.3963349456289995,5.645407624621734,16.857331459891377,12.925235029416093,8.31561525129404,4.5660781711308385,17.009655691983486
1087,4.234288340049474,11.256070355973462,24.27870688674796,11.01499995037313,7.975040829301177,4.995109757749344,21.082644510397134
1088,1.1057397505289297,12.118008228936029,12.892142867329866,10.403164624776183,8.80662817361555,2.329402432422186,23.7216367411223
1089,4.131964573242788,12.99284588485229,21.62850491497085,10.417509308656705,8.84376437054496,6.969013076063945,31.607608265172882
1090,7.643572818986286,10.553524212513938,28.951716637331362,10.338844578925702,9.334801963615107,5.532511758694617,33.98880870871409
1091,7.512269604570507,9.272217731203764,14.300668193214744,9.148050687554704,9.317720288111321,10.498108797526074,34.906054935775046
1092,2.752405395470305,3.5795910499504373,37.26658767452282,9.711540909004297,8.196308676675214,5.133356221582613,35.699443751800544
1093,7.4844077853627065,8.43410877072436,23.762608324047594,14.236164436920738,9.143239911276359,10.016521328619264,32.62973366666902
1094,4.431791844669571,13.048032061709495,24.090956598591408,13.514651845190661,9.390976862577265,13.041947509130663,23.26304989265561
1095,5.562363837055524,2.2969290432761102,11.171983728789758,10.23130581885452,8.444877113291536,11.086724752054357,17.102446932804128
1096,19.78535168317236,27.27758353702819,94.34654868052974,1.0003051336802282,7.786576760048584,29.571673417693724,17.973718896171874
1097,21.685530812835747,35.148452786220595,81.07220581662773,2.631290471188004,7.362433651947189,24.149383639242146,27.5433397394959
1098,23.755202812416798,32.89520439101696,107.28197233974613,3.6035856517557514,8.033363342661128,30.79501318127939,27.37542605440162
1099,21.765489700531557,32.784051112078686,67.14617905316172,2.610696470677472,8.2225279386207,24.528114997739202,31.67219214004051
1100,20.462907503520785,37.3826796060756,102.33992193944556,1.3653345150118352,8.431194212189236,30.489693753663666,30.502528374895284
1101,31.80291455282455,39.20391493142558,121.56196492188943,1.362126788925389,8.567117661139273,40.62795148922037,32.92554749836788
1102,7.226838537611952,8.510357971646636,47.878230086238204,3.544407144592747,8.821622117667788,6.429535521500024,32.29231959104804
1103,9.279115945716498,16.62456779011808,21.41424980423986,6.384444168681923,7.8179424028862226,13.392109939531778,30.512597206319473
1104,5.719836327891802,12.340002113478125,53.89107295205522,7.4426837391753935,8.085467193775193,12.288076172955348,34.54295854238897
1105,14.880823830495618,27.5455920634006,85.59098537132326,4.16119561901414,8.349073433162694,21.998476964457748,31.495156033245923
1106,19.878138457753884,31.945089957967923,82.94704138857591,3.121966403710277,8.154718201252383,26.70623360764941,27.53205315914874
1107,23.551537514404682,41.44963692002381,114.46805647434071,2.953053065170643,8.11803624240893,29.316477767220597,26.56826722205873
1108,20.786801300389975,23.164593720875416,85.31625161534683,3.146625127504982,7.7483125422968815,21.98802243192479,14.797714076876431
1109,20.603847359270063,45.56459174703194,92.07138138837189,1.5488705266064087,7.607313933662806,27.571758160242418,28.68637951477674
1110,29.813080450242428,29.88924013163695,95.77085064256929,1.8221116253916843,7.844882265352598,28.365979676748143,28.70292023114881
1111,19.133217988174316,35.578291865698404,93.74797756347932,3.015248711021661,8.406229271789103,23.943141606860472,31.220479387894397
1112,24.43577108631075,38.0514883535389,108.14705214775918,3.56246508811841,8.310641216546628,25.16346886174801,31.5571134047689
1113,30.1776233597833,36.69848712990213,129.2672610822854,1.5143896422122474,8.820122207309062,31.850236890251885,32.07560734177227
1114,8.996824299031186,6.688324958504749,36.7897389566353,4.75613323771252,8.652515519022543,13.041850023562162,33.44461308061147
1115,11.193111371954188,13.201824322390287,19.67633131631361,5.551164735926154,7.911729932983141,10.430819358245737,33.428259811064976
1116,8.601584128613938,8.072883227710271,38.11852015461047,7.259944785954529,8.325995252922857,9.764902214558445,33.915254105494014
1117,14.635796012299096,20.634988458346868,74.37314998755814,4.701759741881717,7.394764949956702,23.457414845657684,29.298474236665477
1118,24.12321431037618,31.856669583054927,91.60245675083355,3.579123983075738,8.42438520424266,21.024143347213315,31.46330079150704
1119,26.77000753106258,34.970774360362356,91.60084440838592,3.430253066862162,7.894177579628743,31.66842243984388,25.56786029209866
1120,4.567543942671448,9.287406734151036,21.000195978147598,11.785346762231882,7.766805310927921,11.309172186507068,23.255523403086208
1121,3.535257243147968,8.18844039199815,14.095944828233158,7.130455096541013,8.478056221065685,4.78844458095057,29.43038038053208
1122,3.292083488947653,6.755786292945268,32.53247438933974,10.205348881670517,8.410902703307888,9.271589550140561,34.7344748803944
1123,4.6367465977754305,6.385715420792322,26.86465639549401,12.663294055703814,9.530104019364435,9.855033258278306,36.41231741050179
1124,3.547139856885514,10.333687382743795,40.75704467427927,15.561384568688972,9.296681537052303,7.210646806790628,39.28989686675097
1125,8.032594153146622,7.007001199634412,29.817244978786523,9.874632796295476,8.532827309588791,7.978932747340664,29.958301843869528
1126,2.135779257392007,6.229361210972417,32.75732109590614,13.535748755043432,8.162220989068599,7.363357838945434,34.12191927869944
1127,11.27931205948937,6.957516213034577,46.617499326491455,14.186283919191268,8.057529942135373,11.341317115784532,31.20715664739246
1128,4.542907628595387,8.026206180336613,35.17770196286792,14.573292182488704,8.283542379084128,9.714221334431096,20.475800085589743
1129,14.729147979251401,18.15050020472627,39.62524328570535,1.6152218450463403,8.24402102656239,12.789113350476732,18.78211601275394
1130,9.004251634394187,15.099876654651101,69.74482307071777,4.501305523413583,8.827580559798461,17.2683997957533,21.15705354514304
1131,15.748960149384672,20.18070058836702,74.29674969190556,1.0824722852727842,8.996734884350474,19.16050523459813,25.46290074688288
1132,23.297812201966288,23.129377416472988,79.20200015536136,3.4163078001196214,8.35155097232234,24.744259801052802,32.913202815612124
1133,19.585021573158837,13.70755262928907,79.1990418398672,3.6814222110563835,8.164228909696885,30.882242243755144,40.35930812430433
1134,19.34815684483179,16.90579340726968,91.27553649801891,1.877880418234664,9.135288300541182,39.94799034908967,32.08438422339211
1135,11.569241942049935,4.460391728681426,45.07408354967397,3.6816991143492905,8.284414826909218,31.21794018803999,30.585950600010488
1136,8.499681063723685,12.036158179362861,51.162116279695,4.462647293683668,8.344789076090533,16.956631184007538,32.09553477521023
1137,21.565843050410425,28.57032379337306,92.55263632879479,1.4328793672398654,7.758901203424737,25.986434421657755,25.36869979428461
1138,21.16391185619626,23.546074286242195,64.75123719924309,3.039087049284981,8.116309994176255,36.528026552091156,22.654212527024807
1139,14.628201248250086,12.26561544648295,55.84871201946972,2.604708412734599,8.083288298854828,18.085849581266796,17.075927988932534
1140,11.174666551451445,14.152371727548267,42.46840209853528,4.657381312322876,8.380257526717363,15.96336087775583,25.197637238046905
1141,13.098101464016327,18.572800999409644,87.18962610725728,1.3393025181077807,8.093868179582193,13.81557300012561,25.490152631576265
1142,21.251567684098568,18.133441019876404,88.48660776230177,2.4449046252035673,7.857613770442667,25.577846959357274,30.20276515710213
1143,17.10032189661784,23.065963175613206,110.71668286593993,1.3031865122918256,8.409963330635698,16.585303099122996,40.79864069171033
1144,20.23483781051919,10.999209788224324,87.75042523859442,3.186824294779993,8.439560469294445,30.528070833729952,32.38202106625004
1145,20.395381105185855,10.470100943104558,63.049088873943134,3.0789950902246033,8.556205198997471,39.73403035295351,34.0499340180068
1146,9.882940895643573,18.8564450450029,43.241365943704544,2.539294019221527,8.576155827256672,7.799056721886899,32.50244415060349
1147,15.307402053197965,31.547898420490093,71.90983391388623,2.025248981503598,7.797536365665573,27.385782681197597,27.505699341419717
1148,20.739374543892307,34.8335164317694,84.00177002360837,2.5696576886498175,8.272886110880297,32.13775161501635,24.501364802546373
1149,8.697420904812816,9.549057894555295,21.306322443534228,11.276142919957122,8.478547301533728,10.907370219444086,17.071625108633125
1150,7.563406871831513,11.11557105156028,38.22587587859614,12.010327476175107,8.03002919957329,7.740587783125846,18.073197722665903
1151,5.391600129321498,9.980170394469337,13.90840700759141,13.19290802120706,8.351460778153674,11.098595902936129,23.43559859662064
1152,5.1578004938011786,5.277338355228846,14.534302574027766,10.4932698599292,7.54182420493194,11.19497265131642,30.016753898928158
1153,4.57232937743533,9.735632756603145,17.271706721769643,9.222813462023895,8.447463788690435,5.219289161626911,35.5217869654397
1154,3.1548207380287154,12.516673780303693,30.891172132435635,9.40601236435971,8.280153840451245,4.020381271085941,29.051926807049803
1155,4.832702009421416,7.413280809252255,36.36594368766562,10.285983977186392,9.068982649657656,9.679031024286218,32.25422605007375
1156,8.5702607256743,3.36022561248139,35.67202185789023,7.312503327459902,8.736246603908505,7.870214069719771,26.13096379603
1157,3.173234504006972,5.452070485139084,28.540520735090812,12.459071438267674,8.889033028841702,7.2625495118648,17.927971808469067
1158,19.38323376229951,30.771297566054045,105.52536113492688,3.3758467968302153,8.02965315410255,27.793030548644808,25.108393744363376
1159,9.989641370328247,15.58899157829567,53.27867882521877,1.8250571442526389,7.996342322209924,24.718018988581395,24.68736648229574
1160,17.514804692917227,26.428558973942998,49.920699710597404,1.7795477970466118,7.8621751507281115,15.908770483281945,25.179564547081718
1161,18.99105174660606,26.765460873477238,112.69690124503029,2.364015285645265,8.791066947657686,26.999046644810715,34.44388259315723
1162,18.344552237744487,27.480898465028027,60.23699670541794,6.894407254968796,8.821810368434715,25.603837044969453,37.722462902504475
1163,3.556875908006926,10.312663462167839,54.9604315594478,3.962968812111733,7.661687325284295,20.373107041292286,35.87316462953066
1164,7.988808964429954,6.15327924838766,48.153436660956956,7.701685252419014,8.506227314580416,9.141107577214168,33.50826248809611
1165,7.743696855053125,16.592805254937854,67.88776487757067,2.5144963755641583,8.820953073612609,20.6517118488706,31.47761674262248
1166,22.865426422140757,25.271527048933088,85.66757366073068,3.0101678845559108,8.407984529112026,27.72506144565466,34.33011403173197
1167,26.653632647610454,24.053353030822507,70.35978576639452,1.852832427107816,8.18851008348091,27.786304100249097,21.71765684251182
1168,20.98222700663932,37.08858885602735,95.77555177832596,3.0012398966550786,7.96192404994268,27.652365501324013,21.887942154742504
1169,19.534379605054095,34.12818360405244,92.49987262198138,2.8861911017144424,8.028930496117477,22.988728652666172,21.841360244780894
1170,14.283151467633335,22.734494635944962,54.101239452915685,1.195432051290929,8.271750064185843,21.318868748641272,21.71566228980755
1171,13.613502042652563,22.348944118912964,70.45243407121502,1.1092138131373894,8.08199572574572,21.65764731961388,26.90272731211741
1172,22.1155979844291,26.716479513020964,111.01197450553632,3.822853091810975,8.85268713849196,22.611538554955178,33.76073906659689
1173,18.46613858053583,23.940345938390823,85.42071149140628,7.089032202453865,8.649941262934593,24.67906700760583,35.07915528721549
1174,8.695156624640026,8.398634026346988,32.326062282927,3.3739294781579314,8.117773764185554,19.254875315400792,35.56328906159703
1175,6.370473753277041,9.75005896880936,50.86462240722921,5.718179268900391,8.908475131515246,12.151891247297025,34.63712202183594
1176,9.79585446246264,17.07589319605275,57.90427774735525,3.152299151188209,9.047017955765881,16.51314350725514,32.59659316839371
1177,13.611791484839596,30.84757966863386,69.15575597241461,1.3931667045552194,8.193164521653472,19.87245691682065,32.39264495904741
1178,24.342041437034567,28.977772499042956,72.18554500960481,1.5043708503782116,8.26655965081051,30.118295709451665,25.90119663128941
1179,26.602885992525778,29.425995005038537,94.52897891205888,3.0690742080919593,8.305977187348295,26.47448290590094,22.809254076328916
1180,3.968457967378182,6.021826979686986,41.65967786517936,10.616499164073497,8.44362640021694,5.497006906068716,14.58583886735245
1181,5.742038974153575,14.396684355623673,26.474704959923653,9.134241352325327,8.349102237341047,9.87244340431965,32.21471426634947
1182,6.526131873654437,2.1880932365188404,37.82222276390123,8.14418182069635,8.366188244590775,10.573122175093042,32.499455469596775
1183,5.1740475627289655,11.103451879733562,23.97698813265567,8.913910460657261,7.679435422922285,10.072936012488347,34.336676611091825
1184,2.4917000391205764,7.268919702097904,47.32982402553962,8.151581587978908,8.526988349924945,10.22481983183492,31.497529446724105
1185,1.4185607630298482,8.069451545923833,8.815548577420497,7.6072304212591355,8.438791716763278,13.662074275494106,34.00693907187056
1186,5.891970318799764,8.790973763053822,34.856868189277,10.048629629181583,8.814366759804193,9.931297408248572,29.533998695759124
1187,21.195845348990954,42.23612465890716,99.51402689067612,1.0933718103568157,8.18499747972654,19.457563269578976,20.68462066488832
1188,20.538645217779823,58.390907573108855,106.65515265143885,2.736161673213588,7.588850916231376,22.966708642884083,22.17507391696806
1189,24.08905661844077,37.67681252792596,88.34543484960659,1.1668698305083232,8.001421977301048,38.4911740732817,26.42353231780819
1190,22.184727647819727,22.59974174699034,110.00700875735458,1.3487040663463001,8.223548362782214,28.17698131386237,34.565385125615556
1191,34.84211418178064,26.424946921564505,88.5882064131945,1.353199104753624,7.769363227629574,42.54288128695381,35.72240363638197
1192,12.701156569428708,15.244572827141889,63.01846276440535,2.6815259721972176,7.708765545534403,28.37194230603477,35.66472626507975
1193,9.3650188230599,9.0302346437403,32.754777680148294,3.819894724988278,8.195292474031378,10.917758600030398,36.92329791414547
1194,3.4152452172938776,14.728204582931024,62.49285036203035,7.1983009224890315,8.183208058941213,11.455824513534447,31.366848439006823
1195,10.13756384311931,7.807196434340025,37.091073247982756,7.489552642966359,8.15328664892112,14.83941669740404,35.50048420856043
1196,15.177793836026307,31.265860150706036,96.34638764567242,6.649730563509191,7.6887789925250445,29.16951100203309,33.731569505060726
1197,12.093404117333382,21.019597436099858,80.80866777655322,2.462197472938443,8.822083580626375,17.94095151856301,24.91717280960824
1198,23.120330542317657,31.048742035115872,96.16445528744727,2.6598624879058743,7.393461516662431,27.371834028218963,22.67834328151712
1199,25.561800290949087,37.53422806525014,101.23872390341661,3.632310624895716,7.8706514993154855,28.841896227491528,19.21026087136441
1200,21.53751043283128,49.587944743773754,135.42906301044957,1.2153582935915401,7.919574800756466,27.180279804146657,20.82587878530964
1201,23.798135186905387,32.35106324857456,81.17512587279982,2.904389142278285,7.700959465985873,26.465738227221905,28.33160044629015
1202,21.44620503887449,27.234744710944668,93.6273608238088,2.4174264087088266,7.950778345343588,21.743231932282264,31.723267431638654
1203,35.70692959336018,26.06749538113203,74.70481295284681,2.8494461694865625,8.01114730434493,41.37637011818751,34.0617783291778
1204,11.360498649507091,23.404304944787803,73.06396519365143,1.5280280146498546,7.66232275913514,27.45418536546207,35.857974763245025
1205,6.451473955084752,5.510627289840034,19.646312963319676,6.061148922002699,8.50282984395592,13.599278566883964,39.14015486306151
1206,4.051293730093699,14.89945435818342,42.105659113645274,6.659738368717052,7.948116986079946,10.330915987665454,33.67719712886979
1207,11.988688522712657,12.848879354803845,41.761663429871426,10.457439721208301,8.440191172325004,10.095513752921152,33.55000450111151
1208,18.721024303667583,35.234292181881976,68.21265629362716,8.437212317440776,7.555142116690507,27.311827061486596,31.787608735981767
1209,15.786029839591315,18.905797156604937,72.49403560568956,1.0852515397747489,8.632556892098929,19.90243046109,23.15266600190765
1210,25.38792631297228,28.798336469819397,92.36721039410881,3.0013516125055153,7.749198748512618,34.399259915245494,22.822587595007764
1211,2.8986552068164873,4.207898479618358,34.7577373098722,11.51646153693576,8.35457810530617,3.7070768724695036,16.17710960422291
1212,3.2955101009429177,3.07477493845953,23.743290373047913,10.034359792805295,7.895309804626811,4.282520196838101,19.391020770012563
1213,6.800511977011187,5.780585592729608,30.200670676928617,9.921699701089297,8.606393187150536,9.529932459609876,26.814598488469855
1214,4.383548055900816,10.0667737504776,31.233246462681066,8.631342239394126,8.848913911907248,4.877714278673966,32.850569835857016
1215,2.185744184421463,6.7004223358692805,20.120209361799304,10.117874910327037,7.907631746309018,9.98008718297127,31.187370933807586
1216,4.370333679365953,2.2548789211481566,32.54897997108233,9.55183287486334,8.34002736605319,12.332788306973638,32.51947522799045
1217,4.46667941920755,8.019444896953118,22.473128353527684,10.431877291470105,8.586654641345499,8.919140274303448,33.53982881388524
1218,6.561308790481777,3.4334440556524903,37.6173184307868,9.941745526367724,8.1211537866944,3.4504684951806213,34.08734913616558
1219,1.655485350504945,4.873358046950802,11.980162802528735,8.79273469961513,8.675868937607454,7.642283429438425,29.70984292253265
1220,2.890631246174143,6.528443751960506,32.4364193591687,11.386055431022086,8.441051551569098,4.869692720346125,26.316652215820756
1221,5.897058355041878,5.483705382800392,15.869575046535477,11.478706188215014,8.339488910190603,2.4503571306119536,20.592471068595593
1222,22.708931206898683,39.94714204639633,86.08876292875854,3.152469041564345,7.5934430794706245,22.15187729672587,20.27476981020041
1223,31.712039909020397,46.80128614071532,102.27982876603741,2.119716684044339,7.446755993756993,30.064716261209906,24.723847016177942
1224,18.06253542484253,24.58912247186728,42.810392041056396,1.8043111245060028,7.5994987919970285,25.173422102025274,22.587573856772373
1225,31.32459355877081,38.91326569652877,72.75329349130129,3.0001240576746167,7.544215428643368,31.085070697648504,34.768495533817166
1226,29.142932437164575,30.766735277414732,62.712225834502384,3.735502821333979,8.040938810071495,37.07620943310003,35.46490310366193
1227,13.92717414596921,42.56153304957901,92.41542659649502,2.5673424066034576,7.996122145916685,21.979873089600485,35.858223711161784
1228,32.408259510389435,31.910417537865563,100.74076519809671,4.920676607016584,8.045878803043907,31.84391775647514,31.644781454048243
1229,16.921881158720907,12.860503123848632,69.01410369849631,2.374217292450567,8.126146512183901,24.727608455063375,33.32261279266507
1230,5.105113339555098,8.132067494589188,44.326601661779165,4.326878467664676,7.528828488725665,11.511636633081809,25.438756801281336
1231,14.611105612373596,27.320816193609755,72.07662889494179,3.616774061317427,7.7260533288635225,20.25389905826421,37.85368972929366
1232,17.962607387974934,22.497361827659596,70.14970773025271,3.2058501887739435,7.631204653308408,24.80704786933795,30.2495369575523
1233,20.810633949778364,20.144533686723705,77.87440942310384,1.3412793748568284,8.300151737513096,24.255892047270496,20.73080366663352
1234,21.88252013338225,41.821662970374206,84.1455052215176,3.192204804138771,7.431986636119914,21.56401756124758,22.092872199257826
1235,25.688994401997107,30.980272454605426,104.30846970232102,2.3407293637635482,7.7037103287498505,35.16663941937264,26.715335597804955
1236,19.60456979726944,25.76326365450378,64.57445904921977,2.0907014872303202,7.782290029319624,18.237532957223475,20.2026331324002
1237,25.788022809428043,30.845026352283853,71.1532574625592,3.70113597677108,7.464212966600025,25.7806053165227,35.63809339738358
1238,31.35014189444466,23.623843752043022,83.00914990593114,3.761290103367979,8.063734861189099,32.96144114002851,36.87627064770188
1239,17.745643143526568,36.09347941623816,83.5896651347893,2.1676612487161666,7.8382670749188526,22.41282062437422,35.93703668647429
1240,28.122333424805575,30.54394291731727,102.02673481329995,3.4935279270058066,7.898461866648415,30.970140769706457,33.53140029417323
1241,12.849185206969365,19.973445801447276,43.72684010909513,1.8856327174709868,7.976008537885392,19.867473454441246,30.428967927665024
1242,6.985783761868486,12.620784886796905,34.74342596617479,5.244613274578464,7.186114592431916,5.4301416422002315,21.2084445294015
1243,21.136038710595173,23.58997677012674,77.91124534774298,2.2406139549764807,7.728547623666596,19.41741443770685,38.40906859186055
1244,14.685009762932712,25.72794232883416,64.64097557138678,4.568223343562314,7.863740605938647,24.87581214292508,31.508860685244404
1245,23.234661296004255,27.288821386166404,77.12739202954107,3.723527999117621,8.149724669979527,21.56595303307551,19.887513828832383
1246,5.750218433283137,5.660844813505634,23.334632259318106,11.883430688020479,8.113907311743423,3.196690534140318,14.660088722367544
1247,1.7359457317886813,8.966379019045437,17.65674558710997,10.778349948560393,8.088055401084432,4.52400809445407,20.761080301848295
1248,4.639605159247848,7.820498369386254,37.972302666081525,9.257195334542681,9.049114100736341,8.605436985695674,28.09847430697094
1249,7.1343813522028405,6.27659989731347,30.929830341872496,9.398864959028451,8.906410694211587,8.85829303346786,30.039377814909997
1250,2.2983013584184926,7.405454567160072,33.84976977242307,10.336176907280429,9.355241059129778,5.691364094505054,32.92673433523373
1251,3.515920745920741,7.179213569086241,25.34295609925166,9.905796242509517,9.30203594647807,3.9140355162509852,35.1966675746132
1252,5.372176656517414,12.469011617990025,30.361141477347015,9.732847043887721,8.195010295611597,1.6865226479960076,32.11354813977937
1253,5.584116643323502,4.399814294016554,24.017357988951165,14.086930545363032,8.791597947680085,9.657939514103893,33.12705872653565
